iter	TotalF1:average=Macro	MultiClass
0	0.7333706668	1.080369766
1	0.6986836723	1.064312157
2	0.770389241	1.048055864
3	0.7679062424	1.033392743
4	0.7554855424	1.019693606
5	0.758302907	1.005922836
6	0.7736182568	0.9925911237
7	0.7668634464	0.9788497861
8	0.7757083841	0.9649436663
9	0.7830542546	0.953415747
10	0.7846747678	0.9410385706
11	0.789842648	0.9292919845
12	0.7934591225	0.9190841739
13	0.7981551271	0.9093312539
14	0.7981551271	0.8998703578
15	0.7903021903	0.891004299
16	0.7939757706	0.8818737972
17	0.7944803562	0.872402686
18	0.7944803562	0.8636972595
19	0.7910926187	0.8548718696
20	0.7985932746	0.846182468
21	0.794868129	0.8380084816
22	0.7869820764	0.829833729
23	0.7907564012	0.8222730309
24	0.7831561588	0.8147248464
25	0.7831561588	0.8086355042
26	0.7814114621	0.801709227
27	0.7775979431	0.7948153827
28	0.7872655206	0.787648604
29	0.781773743	0.7808982179
30	0.7855884426	0.7744636695
31	0.7814114621	0.768675864
32	0.7814114621	0.7631571622
33	0.7814114621	0.7575965147
34	0.7855884426	0.7517794685
35	0.7930660685	0.7462698326
36	0.7855884426	0.7408798409
37	0.7930660685	0.7348101628
38	0.794868129	0.7294441766
39	0.7930660685	0.7243411012
40	0.7893521511	0.7186073718
41	0.7893521511	0.7136348581
42	0.794868129	0.709549844
43	0.7985932746	0.7046568164
44	0.7985932746	0.7002462603
45	0.7985932746	0.6956216341
46	0.7985932746	0.6908810029
47	0.8022692409	0.6875056183
48	0.7985932746	0.6833126435
49	0.794868129	0.6798167209
50	0.7985932746	0.6757728226
51	0.7985932746	0.6725380231
52	0.794868129	0.6687357755
53	0.7985932746	0.6652681359
54	0.794868129	0.6616551866
55	0.794868129	0.6585124507
56	0.794868129	0.6551668175
57	0.794868129	0.6516830253
58	0.7903021903	0.6482258561
59	0.7944803562	0.6447269966
60	0.7944803562	0.6416817509
61	0.7944803562	0.6382480127
62	0.7944803562	0.6350460292
