iter	Passed	Remaining
0	33	16916
1	58	14600
2	84	14011
3	110	13716
4	137	13579
5	165	13655
6	192	13562
7	216	13319
8	239	13048
9	261	12818
10	285	12679
11	308	12555
12	333	12505
13	359	12482
14	385	12475
15	407	12320
16	427	12152
17	449	12024
18	470	11905
19	491	11786
20	512	11685
21	533	11588
22	554	11500
23	576	11435
24	598	11362
25	619	11290
26	640	11218
27	661	11157
28	683	11097
29	704	11038
30	725	10981
31	748	10950
32	772	10933
33	795	10909
34	817	10857
35	839	10825
36	860	10771
37	882	10733
38	904	10690
39	926	10650
40	947	10607
41	969	10577
42	993	10556
43	1013	10508
44	1035	10469
45	1056	10430
46	1077	10386
47	1099	10351
48	1120	10312
49	1142	10281
50	1163	10242
51	1185	10211
52	1206	10171
53	1228	10146
54	1250	10118
55	1272	10090
56	1295	10068
57	1316	10034
58	1341	10030
59	1366	10019
60	1387	9986
61	1408	9952
62	1432	9935
63	1453	9903
64	1475	9873
65	1496	9841
66	1518	9813
67	1540	9784
68	1562	9757
69	1582	9724
70	1604	9697
71	1626	9669
72	1646	9633
73	1668	9604
74	1689	9573
75	1711	9545
76	1733	9523
77	1754	9492
78	1776	9468
79	1798	9443
80	1820	9414
81	1841	9386
82	1861	9353
83	1884	9334
84	1907	9312
85	1928	9283
86	1948	9250
87	1970	9225
88	1991	9195
89	2013	9174
90	2034	9144
91	2057	9122
92	2078	9094
93	2100	9071
94	2121	9043
95	2142	9016
96	2164	8990
97	2186	8967
98	2208	8946
99	2231	8925
100	2253	8903
101	2276	8883
102	2298	8858
103	2320	8834
104	2343	8816
105	2365	8792
106	2387	8768
107	2410	8747
108	2430	8718
109	2450	8689
110	2471	8661
111	2492	8635
112	2514	8611
113	2534	8581
114	2554	8551
115	2575	8524
116	2595	8495
117	2619	8479
118	2639	8449
119	2659	8422
120	2680	8396
121	2701	8371
122	2723	8347
123	2744	8320
124	2766	8299
125	2787	8273
126	2808	8247
127	2830	8224
128	2852	8203
129	2874	8180
130	2895	8157
131	2917	8132
132	2938	8109
133	2961	8089
134	2983	8067
135	3005	8044
136	3027	8020
137	3048	7995
138	3069	7970
139	3091	7949
140	3113	7926
141	3133	7901
142	3154	7876
143	3175	7851
144	3197	7827
145	3220	7809
146	3241	7784
147	3262	7759
148	3284	7737
149	3309	7723
150	3330	7697
151	3352	7674
152	3373	7650
153	3395	7627
154	3418	7608
155	3440	7586
156	3460	7560
157	3481	7535
158	3501	7510
159	3524	7489
160	3546	7468
161	3568	7445
162	3589	7421
163	3614	7404
164	3635	7380
165	3656	7356
166	3676	7331
167	3698	7308
168	3718	7283
169	3739	7259
170	3760	7235
171	3782	7212
172	3806	7195
173	3827	7170
174	3847	7146
175	3868	7121
176	3890	7099
177	3910	7074
178	3930	7049
179	3953	7028
180	3974	7004
181	3995	6981
182	4016	6958
183	4037	6933
184	4058	6911
185	4082	6891
186	4105	6871
187	4130	6855
188	4153	6833
189	4175	6812
190	4198	6791
191	4221	6772
192	4245	6753
193	4270	6736
194	4294	6716
195	4319	6699
196	4343	6680
197	4366	6659
198	4389	6638
199	4414	6621
200	4436	6599
201	4459	6578
202	4485	6561
203	4509	6543
204	4531	6520
205	4553	6498
206	4574	6475
207	4596	6452
208	4617	6429
209	4639	6406
210	4660	6383
211	4683	6362
212	4704	6338
213	4725	6315
214	4746	6292
215	4768	6269
216	4793	6251
217	4815	6228
218	4836	6205
219	4857	6182
220	4879	6159
221	4899	6135
222	4921	6112
223	4942	6090
224	4964	6067
225	4988	6048
226	5010	6025
227	5032	6003
228	5054	5981
229	5077	5960
230	5103	5942
231	5122	5917
232	5142	5893
233	5167	5874
234	5187	5849
235	5210	5828
236	5231	5805
237	5254	5783
238	5275	5761
239	5297	5738
240	5320	5717
241	5348	5702
242	5375	5685
243	5402	5667
244	5424	5645
245	5445	5622
