iter	Passed	Remaining
0	27	13636
1	48	12150
2	69	11564
3	90	11273
4	112	11115
5	131	10821
6	148	10446
7	165	10195
8	182	9968
9	199	9790
10	217	9662
11	235	9577
12	253	9500
13	271	9438
14	290	9394
15	308	9317
16	325	9240
17	341	9154
18	358	9080
19	375	9013
20	392	8960
21	409	8901
22	427	8858
23	445	8837
24	462	8788
25	479	8744
26	496	8699
27	513	8654
28	529	8607
29	547	8577
30	568	8593
31	588	8603
32	606	8588
33	624	8553
34	641	8523
35	658	8491
36	675	8453
37	692	8418
38	709	8381
39	726	8354
40	744	8331
41	763	8321
42	782	8312
43	806	8354
44	823	8327
45	841	8303
46	858	8276
47	877	8258
48	894	8235
49	912	8213
50	930	8190
51	948	8167
52	966	8149
53	983	8123
54	1002	8107
55	1019	8080
56	1037	8061
57	1055	8040
58	1072	8016
59	1090	7997
60	1108	7977
61	1126	7954
62	1145	7945
63	1162	7919
64	1179	7896
65	1198	7882
66	1216	7863
67	1234	7840
68	1251	7819
69	1268	7792
70	1285	7765
71	1302	7741
72	1319	7717
73	1335	7690
74	1352	7661
75	1369	7640
76	1386	7616
77	1404	7598
78	1420	7569
79	1437	7545
80	1453	7518
81	1469	7491
82	1486	7470
83	1504	7450
84	1521	7429
85	1540	7416
86	1557	7394
87	1574	7371
88	1591	7349
89	1608	7328
90	1625	7305
91	1642	7285
92	1660	7266
93	1677	7246
94	1694	7223
95	1711	7202
96	1729	7185
97	1746	7166
98	1766	7154
99	1783	7132
100	1800	7111
101	1817	7090
102	1834	7070
103	1852	7052
104	1869	7031
105	1885	7009
106	1903	6990
107	1920	6970
108	1936	6947
109	1952	6923
110	1969	6901
111	1986	6881
112	2004	6863
113	2021	6846
114	2039	6826
115	2058	6812
116	2075	6793
117	2093	6777
118	2110	6755
119	2127	6735
120	2144	6716
121	2161	6697
122	2178	6678
123	2198	6665
124	2217	6651
125	2234	6633
126	2251	6613
127	2269	6596
128	2287	6579
129	2305	6561
130	2323	6543
131	2340	6524
132	2357	6504
133	2374	6485
134	2391	6466
135	2408	6446
136	2425	6426
137	2442	6406
138	2459	6386
139	2475	6364
140	2492	6346
141	2510	6330
142	2529	6314
143	2545	6292
144	2561	6270
145	2579	6255
146	2596	6234
147	2613	6216
148	2630	6195
149	2646	6175
150	2662	6154
151	2679	6134
152	2696	6115
153	2713	6096
154	2730	6078
155	2748	6061
156	2765	6042
157	2783	6024
158	2800	6006
159	2817	5988
160	2834	5968
161	2851	5948
162	2868	5931
163	2887	5916
164	2904	5897
165	2922	5880
166	2941	5864
167	2958	5846
168	2974	5826
169	2992	5808
170	3009	5790
171	3026	5770
172	3045	5756
173	3061	5736
174	3078	5717
175	3096	5699
176	3114	5683
177	3132	5666
178	3149	5647
179	3165	5628
180	3183	5610
181	3201	5593
182	3218	5574
183	3234	5554
184	3251	5536
185	3269	5519
186	3287	5502
187	3304	5483
188	3321	5465
189	3337	5445
190	3355	5428
191	3372	5409
192	3389	5391
193	3407	5375
194	3424	5356
195	3442	5339
196	3459	5321
197	3476	5302
198	3493	5283
199	3510	5266
200	3527	5247
201	3544	5228
202	3560	5209
203	3578	5191
204	3594	5173
205	3612	5155
206	3629	5137
207	3648	5122
208	3667	5106
209	3684	5088
210	3701	5070
211	3718	5052
212	3735	5033
213	3752	5014
214	3770	4997
215	3786	4978
216	3803	4960
217	3821	4943
218	3839	4926
219	3856	4908
220	3873	4889
221	3889	4870
222	3905	4851
223	3921	4832
224	3938	4813
225	3956	4797
226	3977	4783
227	3998	4770
228	4017	4754
229	4035	4737
230	4054	4721
231	4071	4703
232	4088	4685
233	4108	4670
234	4125	4651
235	4143	4635
236	4160	4617
237	4177	4598
